 poptyp | iso3cd |          cartolb
--------+--------+---------------------------
      1 | ARM    | Yerevan
      2 | BDI    | Bujumbura
      1 | LTU    | Vilnius
      1 | MOZ    | Maputo
      3 | NCL    | Nouméa
      3 | TCA    | Cockburn Town
      1 | HND    | Tegucigalpa
      1 | SGP    | Singapore
      1 | MDA    | Chişinău
      1 | LVA    | Rīga
      3 | MSR    | Plymouth
      1 | GNB    | Bissau
      1 | BGD    | Dhaka
      1 | CHL    | Santiago
      1 | THA    | Krung Thep (Bangkok)
      1 | RUS    | Moskva (Moscow)
      1 | GHA    | Accra
      1 | PER    | Lima
      1 | PAN    | Panamá
      1 | SWZ    | Mbabane
      3 | PCN    | Adamstown
      1 | CMR    | Yaoundé
      1 | SUR    | Paramaribo
      1 | PRT    | Lisboa (Lisbon)
      1 | SWE    | Stockholm
      1 | ARG    | Buenos Aires
      1 | TTO    | Port of Spain
      1 | LAO    | Viangchan (Vientiane)
      1 | GMB    | Banjul
      1 | TGO    | Lomé
      1 | LSO    | Maseru
      1 | KIR    | Tarawa
      1 | IRN    | Tehrān
      1 | SVK    | Bratislava
      1 | AND    | Andorra la Vella
      1 | PLW    | Melekeok
      2 | SWZ    | Lobamba
      1 | BHR    | Al Manāmah
      1 | GRC    | Athína (Athens)
      1 | COG    | Brazzaville
      1 | GAB    | Libreville
      1 | NAM    | Windhoek
      1 | MHL    | Mājro (Majuro)
      1 | CHE    | Bern
      1 | MMR    | Nay Pyi Taw
      1 | YEM    | Şan'ā' (Sana'a)
      1 | VNM    | Hà Nội (Hanoi)
      1 | TUR    | Ankara
      1 | BEL    | Brussels
      2 | VNM    | Hồ Chí Minh (Saigon)
      1 | ETH    | Ādīs Ᾱbeba
      1 | USA    | Washington, D.C.
      1 | JOR    | ʻAmmān
      1 | GIN    | Conakry
      1 | BRN    | Bandar Seri Begawan
      1 | QAT    | Ad Dawḩah (Doha)
      1 | ZMB    | Lusaka
      1 | STP    | São Tomé
      1 | UZB    | Toshkent (Tashkent)
      1 | BGR    | Sofiya
      2 | NLD    | The Hague
      1 | DOM    | Santo Domingo
      1 | MAR    | Rabat
      3 | BMU    | Hamilton
      1 | NZL    | Wellington
      1 | COL    | Bogotá
      1 | EST    | Tallinn
      1 | GBR    | London
      1 | BIH    | Sarajevo
      1 | SLE    | Freetown
      1 | SMR    | San Marino
      1 | SRB    | Beograd (Belgrade)
      1 | ECU    | Quito
      2 | CIV    | Abidjan
      1 | HTI    | Port-au-Prince
      1 | OMN    | Masqąt (Muscat)
      1 | BFA    | Ouagadougou
      1 | GTM    | Guatemala
      1 | ISL    | Reykjavík
      1 | SVN    | Ljubljana
